City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Boden,SE,65.8252,21.6886,60.8,82,4,5.23,clear sky
252,Rundu,NA,-17.9333,19.7667,56.55,36,0,4.14,clear sky
253,Cap-Aux-Meules,CA,47.3821,-61.8597,68.05,94,100,18.41,mist
254,Ilulissat,GL,69.2167,-51.1,53.62,66,75,4.61,broken clouds
255,Manacapuru,BR,-3.2997,-60.6206,84.69,65,95,1.45,overcast clouds
256,Derzhavinsk,KZ,51.1,66.3167,74.97,43,16,11.52,few clouds
257,Lagoa,PT,39.05,-27.9833,70.3,93,2,13.51,clear sky
258,Valenca,BR,-13.3703,-39.0731,75.22,77,15,6.13,few clouds
259,Itarema,BR,-2.9248,-39.9167,84.58,65,38,16.35,scattered clouds
260,Vila Velha,BR,-20.3297,-40.2925,75.94,76,2,5.01,clear sky
261,Wattegama,LK,6.7989,81.4808,76.19,90,88,2.59,overcast clouds
262,Thompson,CA,55.7435,-97.8558,88.86,25,83,6.4,broken clouds
263,Nanortalik,GL,60.1432,-45.2371,47.97,90,100,14.72,light rain
264,Grootfontein,NA,-19.5667,18.1167,55.78,34,0,5.28,clear sky
265,Riyadh,SA,24.6877,46.7219,100.54,10,6,10.49,clear sky
266,Gunjur,GM,13.2019,-16.7339,81.16,76,100,13.22,overcast clouds
267,Sidi Ali,DZ,36.0998,0.4206,76.71,71,1,5.86,clear sky
268,Lipari,IT,38.4674,14.954,84.33,76,0,1.34,clear sky
269,Karlshus,NO,59.352,10.8723,71.51,58,69,8.05,broken clouds
270,Paracuru,BR,-3.41,-39.0306,87.12,62,13,12.59,few clouds
271,Turkmenabat,TM,39.0733,63.5786,92.39,17,0,17.96,clear sky
272,Ourem,PT,39.6417,-8.5919,75.61,64,0,12.21,clear sky
273,Portage,US,41.1667,-81.1998,88.75,53,40,8.05,scattered clouds
274,Areka,ET,7.0667,37.7,59.5,86,100,2.24,overcast clouds
275,Kazerun,IR,29.6195,51.6541,90.66,27,0,4.83,clear sky
276,Oranjestad,AW,12.524,-70.027,80.47,81,0,23.53,clear sky
277,Dovolnoye,RU,54.4958,79.6671,55.69,90,0,5.08,clear sky
278,Paita,PE,-5.0892,-81.1144,68.94,72,16,13.94,few clouds
279,Yarmouth,US,41.7057,-70.2286,92.14,64,0,18.41,clear sky
280,Mutiscua,CO,7.3009,-72.7467,57.96,83,89,5.77,overcast clouds
281,Dilla,ET,6.41,38.31,64.17,77,100,2.53,overcast clouds
282,Gazli,UZ,40.1333,63.45,93.63,17,0,19.51,clear sky
283,Salto,UY,-31.3833,-57.9667,63.88,51,0,14.0,clear sky
284,Blind River,CA,46.1834,-82.9582,76.42,69,100,8.32,overcast clouds
285,Izhma,RU,65.0083,53.9113,68.38,55,0,8.88,clear sky
286,Caravelas,BR,-17.7125,-39.2481,75.67,65,5,7.56,clear sky
287,Alta,NO,69.9689,23.2717,56.46,72,20,6.91,few clouds
288,Bezhta,RU,42.1338,46.1283,61.57,71,16,3.85,few clouds
289,Babaeski,TR,41.4325,27.0931,68.07,62,0,9.22,clear sky
290,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,8.05,broken clouds
291,Manosque,FR,43.8288,5.7869,84.56,43,0,5.68,clear sky
292,Skeldon,GY,5.8833,-57.1333,83.01,82,57,4.36,light rain
293,Talnakh,RU,69.4865,88.3972,52.21,58,21,5.23,few clouds
294,Namibe,AO,-15.1961,12.1522,62.4,86,75,3.13,broken clouds
295,Bereda,ES,43.2686,-7.5406,70.41,72,12,6.38,few clouds
296,Rio Gallegos,AR,-51.6226,-69.2181,42.85,65,0,28.77,clear sky
297,Medina,SA,24.4686,39.6142,106.23,10,20,17.27,few clouds
298,Muyezerskiy,RU,63.9333,31.65,57.13,74,100,8.34,overcast clouds
299,Kalat,PK,29.0225,66.5916,72.52,68,100,3.27,overcast clouds
300,Miandrivazo,MG,-19.5167,45.4667,73.42,39,0,19.57,clear sky
301,Sur,OM,22.5667,59.5289,85.59,80,96,8.08,overcast clouds
302,Pasching,AT,48.2586,14.2042,78.8,41,0,6.91,clear sky
303,Gandorhun,SL,7.5,-11.8333,73.33,88,100,3.47,overcast clouds
304,Kilindoni,TZ,-7.9139,39.6668,76.05,76,0,18.66,clear sky
305,Harwich,GB,51.9419,1.2844,89.35,56,53,5.99,broken clouds
306,Richards Bay,ZA,-28.783,32.0377,69.73,59,0,3.87,clear sky
307,Cascais,PT,38.6979,-9.4215,74.55,64,20,20.0,few clouds
308,Kibala,TD,9.1104,18.3463,72.59,96,100,3.76,moderate rain
309,Biltine,TD,14.5333,20.9167,84.61,53,91,12.62,overcast clouds
310,Bonthe,SL,7.5264,-12.505,77.16,75,100,9.17,overcast clouds
311,Mount Darwin,ZW,-16.7725,31.5838,60.48,70,23,3.56,few clouds
312,Terra Santa,BR,-2.1042,-56.4869,89.92,47,93,3.94,overcast clouds
313,Edd,ER,13.9297,41.6925,91.53,52,100,1.92,overcast clouds
